"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"2","0.023311","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"3","0.023311","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"4","0.023311","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"5","0.023311","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"6","0.023311","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"7","0.026737","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"8","0.026737","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"9","0.026737","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"10","0.026737","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"11","0.026737","192.168.137.233","192.168.137.216","UDP","438","60014  >  56346 Len=396"
"12","0.026737","192.168.137.233","192.168.137.216","UDP","806","60014  >  56346 Len=764"
"13","0.028137","192.168.137.233","192.168.137.216","UDP","422","60014  >  56346 Len=380"
"14","0.028137","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"15","0.028179","192.168.137.233","192.168.137.216","UDP","454","60014  >  56346 Len=412"
"16","0.039736","192.168.137.233","192.168.137.216","UDP","470","60014  >  56346 Len=428"
"17","0.039736","192.168.137.233","192.168.137.216","UDP","406","60014  >  56346 Len=364"
"18","0.041623","192.168.137.233","192.168.137.216","UDP","438","60014  >  56346 Len=396"
"19","0.041623","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"20","0.055867","192.168.137.233","192.168.137.216","UDP","598","60014  >  56346 Len=556"
"21","0.055867","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"22","0.068685","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"23","0.068690","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"24","0.081743","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"25","0.107091","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"26","0.140268","10.0.0.3","10.0.0.254","MQTT","84","Publish Message [airflow_data]"
"27","0.140316","10.0.0.254","10.0.0.3","TCP","66","1883  >  44003 [ACK] Seq=1 Ack=19 Win=64 Len=0 TSval=459602673 TSecr=2768074103"
"28","0.140405","10.0.0.12","10.0.0.254","MQTT","85","Publish Message [pulse_ox_data]"
"29","0.140425","10.0.0.254","10.0.0.12","TCP","66","1883  >  38083 [ACK] Seq=1 Ack=20 Win=64 Len=0 TSval=1135848576 TSecr=2248470341"
"30","0.140432","10.0.0.3","10.0.0.254","MQTT","84","Publish Message [airflow_data]"
"31","0.140444","10.0.0.254","10.0.0.3","TCP","66","1883  >  35679 [ACK] Seq=1 Ack=19 Win=64 Len=0 TSval=459602674 TSecr=2768074103"
"32","0.140499","10.0.0.12","10.0.0.254","MQTT","85","Publish Message [pulse_ox_data]"
"33","0.140515","10.0.0.254","10.0.0.12","TCP","66","1883  >  44659 [ACK] Seq=1 Ack=20 Win=64 Len=0 TSval=1135848576 TSecr=2248470341"
"34","0.140521","10.0.0.7","10.0.0.254","MQTT","111","Publish Message [heart_rate_data], Publish Message [oxygen_level_data]"
"35","0.140534","10.0.0.254","10.0.0.7","TCP","66","1883  >  43517 [ACK] Seq=1 Ack=46 Win=64 Len=0 TSval=1803934053 TSecr=2029043987"
"36","0.141020","10.0.0.7","10.0.0.254","MQTT","111","Publish Message [heart_rate_data], Publish Message [oxygen_level_data]"
"37","0.141060","10.0.0.254","10.0.0.7","TCP","66","1883  >  37873 [ACK] Seq=1 Ack=46 Win=64 Len=0 TSval=1803934053 TSecr=2029043987"
"38","0.141069","10.0.0.14","10.0.0.254","MQTT","88","Publish Message [spirometer_data]"
"39","0.141123","10.0.0.254","10.0.0.14","TCP","66","1883  >  43379 [ACK] Seq=1 Ack=23 Win=64 Len=0 TSval=1139051152 TSecr=1037284003"
"40","0.141310","10.0.0.14","10.0.0.254","MQTT","88","Publish Message [spirometer_data]"
"41","0.141352","10.0.0.254","10.0.0.14","TCP","66","1883  >  36405 [ACK] Seq=1 Ack=23 Win=64 Len=0 TSval=1139051152 TSecr=1037284003"
"42","0.157964","192.168.137.233","192.168.137.216","UDP","374","60014  >  56346 Len=332"
"43","0.162867","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"44","0.181491","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"45","0.212787","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"46","0.216529","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"47","0.218320","192.168.137.233","192.168.137.216","UDP","390","60014  >  56346 Len=348"
"48","0.221688","34.206.185.226","192.168.137.210","TLSv1.2","105","Application Data"
"49","0.238653","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"50","0.257096","192.168.137.233","192.168.137.216","UDP","694","60014  >  56346 Len=652"
"51","0.257136","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"52","0.294558","ASIXElectron_23:55:40","VMware_b9:07:f6","ARP","42","Who has 10.0.0.7? Tell 10.0.0.254"
"53","0.294584","ASIXElectron_23:55:40","VMware_b9:07:f6","ARP","42","Who has 10.0.0.12? Tell 10.0.0.254"
"54","0.294602","ASIXElectron_23:55:40","VMware_b9:07:f6","ARP","42","Who has 10.0.0.3? Tell 10.0.0.254"
"55","0.296611","VMware_b9:07:f6","ASIXElectron_23:55:40","ARP","60","10.0.0.7 is at 00:0c:29:b9:07:f6"
"56","0.297074","VMware_b9:07:f6","ASIXElectron_23:55:40","ARP","60","10.0.0.12 is at 00:0c:29:b9:07:f6"
"57","0.297522","VMware_b9:07:f6","ASIXElectron_23:55:40","ARP","60","10.0.0.3 is at 00:0c:29:b9:07:f6"
"58","0.307722","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"59","0.325832","192.168.137.233","192.168.137.216","UDP","342","60014  >  56346 Len=300"
"60","0.348307","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"61","0.367282","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"62","0.372601","192.168.137.233","192.168.137.216","UDP","390","60014  >  56346 Len=348"
"63","0.387511","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"64","0.397290","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"65","0.404650","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"66","0.424067","192.168.137.233","192.168.137.216","UDP","358","60014  >  56346 Len=316"
"67","0.446053","192.168.137.216","255.255.255.255","UDP","129","7000  >  7000 Len=87"
"68","0.458935","192.168.137.233","192.168.137.216","UDP","342","60014  >  56346 Len=300"
"69","0.482692","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"70","0.518870","192.168.137.233","192.168.137.216","UDP","342","60014  >  56346 Len=300"
"71","0.518910","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"72","0.538251","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"73","0.538256","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"74","0.538781","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"75","0.553216","34.206.185.226","192.168.137.210","TCP","66","443  >  44522 [ACK] Seq=40 Ack=44 Win=123 Len=0 TSval=742867815 TSecr=2565289"
"76","0.555885","192.168.137.233","192.168.137.216","UDP","390","60014  >  56346 Len=348"
"77","0.557406","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"78","0.626571","192.168.137.233","192.168.137.216","UDP","342","60014  >  56346 Len=300"
"79","0.626571","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"80","0.655863","192.168.137.233","192.168.137.216","UDP","390","60014  >  56346 Len=348"
"81","0.656051","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"82","0.663245","192.168.137.210","34.206.185.226","TCP","66","44522  >  443 [ACK] Seq=1 Ack=40 Win=189 Len=0 TSval=2565289 TSecr=742867473"
"83","0.670344","192.168.137.210","34.206.185.226","TLSv1.2","109","[TCP Spurious Retransmission] , Application Data"
"84","0.676195","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"85","0.697229","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"86","0.705134","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"87","0.728575","192.168.137.233","192.168.137.216","UDP","374","60014  >  56346 Len=332"
"88","0.728575","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"89","0.767594","192.168.137.233","192.168.137.216","UDP","342","60014  >  56346 Len=300"
"90","0.793552","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"91","0.809123","192.168.137.233","192.168.137.216","UDP","630","60014  >  56346 Len=588"
"92","0.821256","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"93","0.833143","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"94","0.848310","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"95","0.859069","192.168.137.233","192.168.137.216","UDP","646","60014  >  56346 Len=604"
"96","0.859069","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"97","0.870012","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"98","0.918359","192.168.137.233","192.168.137.216","UDP","342","60014  >  56346 Len=300"
"99","0.942129","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"100","0.970661","192.168.137.233","192.168.137.216","UDP","358","60014  >  56346 Len=316"
"101","0.979298","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"102","0.982590","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"103","0.992026","fe80::3d71:e0bf:dd72:311e","ff02::1:2","DHCPv6","157","Solicit XID: 0x016831 CID: 0001000127d47f6da4bb6d5cb7a9 "
"104","1.005731","192.168.137.233","192.168.137.216","UDP","422","60014  >  56346 Len=380"
"105","1.007273","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"106","1.020110","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"107","1.040316","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"108","1.066646","192.168.137.233","192.168.137.216","UDP","310","60014  >  56346 Len=268"
"109","1.105701","192.168.137.233","192.168.137.216","UDP","342","60014  >  56346 Len=300"
"110","1.106016","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"111","1.117327","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"112","1.140641","10.0.0.3","10.0.0.254","MQTT","84","Publish Message [airflow_data]"
"113","1.140694","10.0.0.254","10.0.0.3","TCP","66","1883  >  44003 [ACK] Seq=1 Ack=37 Win=64 Len=0 TSval=459603674 TSecr=2768075104"
"114","1.140709","10.0.0.8","10.0.0.254","MQTT","83","Publish Message [weight_data]"
"115","1.140730","10.0.0.254","10.0.0.8","TCP","66","1883  >  43083 [ACK] Seq=1 Ack=18 Win=64 Len=0 TSval=1375746034 TSecr=3323095926"
