No,Time,Source,Destination,Protocol,Length,Info
1,0,192.168.137.140,54.188.99.4,TCP,60,40201  >  8886 [ACK] Seq=1 Ack=1 Win=2968 Len=0
2,0.524785,10.0.0.3,10.0.0.254,MQTT,84,Publish Message [airflow_data]
3,0.524832,10.0.0.254,10.0.0.3,TCP,66,1883  >  44003 [ACK] Seq=1 Ack=19 Win=64 Len=0 TSval=453412516 TSecr=2761884113
4,0.525225,10.0.0.7,10.0.0.254,MQTT,110,"Publish Message [heart_rate_data], Publish Message [oxygen_level_data]"
5,0.525312,10.0.0.254,10.0.0.7,TCP,66,1883  >  43517 [ACK] Seq=1 Ack=45 Win=64 Len=0 TSval=1797743895 TSecr=2022853997
6,0.525605,10.0.0.2,10.0.0.254,MQTT,88,Publish Message [temperature_data]
7,0.525645,10.0.0.254,10.0.0.2,TCP,66,1883  >  36947 [ACK] Seq=1 Ack=23 Win=64 Len=0 TSval=2656635410 TSecr=935790036
8,0.525956,10.0.0.7,10.0.0.254,MQTT,111,"Publish Message [heart_rate_data], Publish Message [oxygen_level_data]"
9,0.525982,10.0.0.254,10.0.0.7,TCP,66,1883  >  37873 [ACK] Seq=1 Ack=46 Win=64 Len=0 TSval=1797743896 TSecr=2022853997
10,0.526335,10.0.0.2,10.0.0.254,MQTT,88,Publish Message [temperature_data]
11,0.52638,10.0.0.254,10.0.0.2,TCP,66,1883  >  43871 [ACK] Seq=1 Ack=23 Win=64 Len=0 TSval=2656635411 TSecr=935790037
12,0.526719,10.0.0.3,10.0.0.254,MQTT,84,Publish Message [airflow_data]
13,0.526762,10.0.0.254,10.0.0.3,TCP,66,1883  >  35679 [ACK] Seq=1 Ack=19 Win=64 Len=0 TSval=453412518 TSecr=2761884115
14,0.527162,10.0.0.12,10.0.0.254,MQTT,85,Publish Message [pulse_ox_data]
15,0.527193,10.0.0.254,10.0.0.12,TCP,66,1883  >  38083 [ACK] Seq=1 Ack=20 Win=64 Len=0 TSval=1129658420 TSecr=2242280353
16,0.527453,10.0.0.12,10.0.0.254,MQTT,85,Publish Message [pulse_ox_data]
17,0.527478,10.0.0.254,10.0.0.12,TCP,66,1883  >  44659 [ACK] Seq=1 Ack=20 Win=64 Len=0 TSval=1129658421 TSecr=2242280353
18,1.496798,8.8.8.8,192.168.137.250,DNS,257,Standard query response 0xa83f AAAA connectivity-check.ubuntu.com AAAA 2620:2d:4000:1::2a AAAA 2620:2d:4000:1::22 AAAA 2001:67c:1562::24 AAAA 2001:67c:1562::23 AAAA 2620:2d:4000:1::2b AAAA 2620:2d:4000:1::23
19,1.511051,8.8.8.8,192.168.137.250,DNS,233,Standard query response 0x252b A connectivity-check.ubuntu.com A 91.189.91.48 A 35.224.170.84 A 91.189.91.49 A 35.232.111.17 A 34.122.121.32 A 185.125.190.49 A 185.125.190.48 A 185.125.190.17 A 185.125.190.18
20,1.523948,10.0.0.3,10.0.0.254,MQTT,84,Publish Message [airflow_data]
21,1.524004,10.0.0.254,10.0.0.3,TCP,66,1883  >  44003 [ACK] Seq=1 Ack=37 Win=64 Len=0 TSval=453413515 TSecr=2761885113
22,1.524349,10.0.0.8,10.0.0.254,MQTT,84,Publish Message [weight_data]
23,1.524391,10.0.0.254,10.0.0.8,TCP,66,1883  >  43083 [ACK] Seq=1 Ack=19 Win=64 Len=0 TSval=1369555876 TSecr=3316905935
24,1.524764,10.0.0.12,10.0.0.254,MQTT,85,Publish Message [pulse_ox_data]
25,1.524856,10.0.0.254,10.0.0.12,TCP,66,1883  >  38083 [ACK] Seq=1 Ack=39 Win=64 Len=0 TSval=1129659418 TSecr=2242281352
26,1.525216,10.0.0.3,10.0.0.254,MQTT,84,Publish Message [airflow_data]
27,1.525257,10.0.0.254,10.0.0.3,TCP,66,1883  >  35679 [ACK] Seq=1 Ack=37 Win=64 Len=0 TSval=453413516 TSecr=2761885114
28,1.525267,10.0.0.8,10.0.0.254,MQTT,84,Publish Message [weight_data]
29,1.525318,10.0.0.254,10.0.0.8,TCP,66,1883  >  43951 [ACK] Seq=1 Ack=19 Win=64 Len=0 TSval=1369555877 TSecr=3316905936
30,1.525508,10.0.0.12,10.0.0.254,MQTT,85,Publish Message [pulse_ox_data]
31,1.525551,10.0.0.254,10.0.0.12,TCP,66,1883  >  44659 [ACK] Seq=1 Ack=39 Win=64 Len=0 TSval=1129659419 TSecr=2242281352
32,1.525875,10.0.0.7,10.0.0.254,MQTT,110,"Publish Message [heart_rate_data], Publish Message [oxygen_level_data]"
33,1.525917,10.0.0.254,10.0.0.7,TCP,66,1883  >  43517 [ACK] Seq=1 Ack=89 Win=64 Len=0 TSval=1797744896 TSecr=2022854997
34,1.526252,10.0.0.14,10.0.0.254,MQTT,88,Publish Message [spirometer_data]
35,1.526295,10.0.0.254,10.0.0.14,TCP,66,1883  >  43379 [ACK] Seq=1 Ack=23 Win=64 Len=0 TSval=1132861995 TSecr=1031095013
36,1.526713,10.0.0.9,10.0.0.254,MQTT,91,Publish Message [blood_glucose_data]
37,1.526752,10.0.0.254,10.0.0.9,TCP,66,1883  >  45455 [ACK] Seq=1 Ack=26 Win=64 Len=0 TSval=1976592877 TSecr=410621830
38,1.526761,10.0.0.9,10.0.0.254,MQTT,90,Publish Message [blood_glucose_data]
